Name of database,Epochs,Batch Size,Model name,size,parameters,Accuracy
pneumoniamnist,50,128,BasicCNN,28,234024,0.841
breastmnist,50,128,BasicCNN,28,234024,0.795
tissuemnist,50,128,BasicCNN,28,234024,0.585
octmnist,50,128,BasicCNN,28,234024,0.726
organamnist,50,128,BasicCNN,28,234024,0.884
organcmnist,50,128,BasicCNN,28,234024,0.881
organsmnist,50,128,BasicCNN,28,234024,0.726
dermamnist,50,128,BasicCNN,28,234024,0.736
bloodmnist,50,128,BasicCNN,28,234024,0.939
pathmnist,50,128,BasicCNN,28,234024,0.778
retinamnist,50,128,BasicCNN,28,234024,0.537
chestmnist,50,128,BasicCNN,28,234024,0.947
